uniprot	gene
O43609	SPRY1
A0A0S2Z5U6	PYCR2
Q53XC8	XRCC3
A0A024R3K2	RPUSD4
Q9NX46	ADPRS
V9HW31	HEL-S-271
O15400	STX7
Q8TBM8	DNAJB14
P55735	SEC13
Q14240	EIF4A2
O75616	ERAL1
Q96DV4	MRPL38
J3KQE5	RAN
Q9H4B0	OSGEPL1
O15160	POLR1C
A0A1K0GXZ1	GLNC1
Q9HD23	MRS2
A6NFX8	NUDT5
Q9UJZ1	STOML2
B5BUD2	RFC2
P22310	UGT1A4
P38159	RBMX
P82673	MRPS35
A0A0A0MQX8	MBNL1
I6L975	HSDL1
P13647	KRT5
A0A1W2PPZ5	TCEA1
Q8NBI6	XXYLT1
Q9H832	UBE2Z
A0A024R9W0	LIAS
P17987	TCP1
O14979	HNRNPDL
P78310	CXADR
P46777	RPL5
P51398	DAP3
P25963	NFKBIA
Q9H5Q4	TFB2M
P54105	CLNS1A
Q5U5J2	CSNK2A1
O75306	NDUFS2
Q9H9B4	SFXN1
H3BUB6	SCAMP2
P53582	METAP1
A0A024RDQ8	RFC3
A0A024R6I7	SERPINA1
P61160	ACTR2
H0YNJ6	GMPR2
P81605	DCD
O43291	SPINT2
B2RDW1	HEL112
Q15527	SURF2
Q99988	GDF15
Q9NQC3	RTN4
Q8N2K0	ABHD12
J3KPS0	DNAJB12
Q09028	RBBP4
P50502	ST13
A0A024R240	GNAQ
Q01105	SET
A0A024R5Z9	PKM2
E9PCR7	OGDH
P04899	GNAI2
A8VYP1	HLA-A
P19525	EIF2AK2
O14495	PLPP3
A0A024RAV0	BCAT1
A0A288Q9P9	HLA-B
Q96GS4	BORCS6
A0A0A6YYJ8	LUC7L2
A0A024R6A5	PPM1A
P56589	PEX3
B3KS98	EIF3H
Q99615	DNAJC7
O76003	GLRX3
D3DSQ1	ASAH1
Q969Z3	MTARC2
Q70UQ0	IKBIP
Q96L58	B3GALT6
Q4LE58	EIF4G1
V9HW90	HEL-75
H0Y449	YBX1
Q6P4A7	SFXN4
S4R369	MRPL37
