C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
ABCB9	1.75157470741837	1.67575756010336	1.74696799465509	1.95809331206701	1.90911763805222	1.94072540436815	1.84709288101998	1.80906298129169	2.16409733696265
ABCC1	40.5165229765345	37.4563964273618	37.1729699924348	37.5233958812069	37.1741234095851	36.6009520075083	34.8251419349856	34.1832531130357	36.8652321646175
ABCC10	6.66352141160822	5.33979992335522	6.00128455151288	6.51139441236644	6.35054773042858	7.13216510513551	6.9011002097401	5.96840801558907	8.1922746733402
ABCC11	0.0570403905743109	0.114566022695223	0.0408257849830039	0.0401355861869415	0.0603842905433969	0.0583651397382537	0.140352236853774	0.170191688510963	0.109067329703614
ABCC2	49.6899409996271	43.2196729986362	57.4764119171752	44.466552760789	45.1149712276922	44.53371551198	47.7843964159618	46.8424148910275	45.976236741662
ABCC3	23.0399507048776	20.648606735439	21.2745810605266	19.9016819884262	19.4305955361226	18.2237466811441	16.0767107578424	15.7592718173055	17.2602961168342
ABCC4	73.4304375495994	70.0980969472418	75.8276850500229	73.8577439269741	73.5947725542012	71.7467970743142	82.0050889069007	80.0316123826501	65.4468415160761
ABCC5	16.0978190235646	12.8048632335585	17.0887550241316	16.9269320200963	16.7483674050076	15.2643382025621	15.1346352192894	15.4924677579909	15.2361271300788
ABCC6	1.89275522334973	1.90080604137892	2.03206590208861	2.34346966445817	1.94591545888986	1.54564675567277	1.65051560228549	1.5883376992965	1.75389601597648
ABCC8	0	0	0.0218193273200656	0	0	0	0	0.0227397239806447	0
ABCD1	53.2395835760653	57.9760091235227	47.5502507148567	59.7982553647777	57.0496735578768	56.9401361020119	55.5938094652642	57.4573347584587	68.2855006457363
ABCD3	38.6381312851518	38.4897034623544	44.3339861380386	43.8165149015476	41.0971751924091	44.3157441413279	46.6183529152527	45.4866511066918	31.8221011066338
ABCD4	11.2162520636609	9.74947824972355	9.84930829118593	10.7770847310685	11.3915180106538	11.2195648091694	9.4590109086065	9.80778360236111	11.4262112398339
ABCE1	44.8547779488024	40.2097932597353	50.6112029831886	47.4812960366202	45.6920164023486	48.4613248473386	54.9292505537457	52.2540773068697	32.5915112857988
ABCF1	152.066866632019	145.311977281758	147.106668360443	143.494616866652	137.703216077291	145.190025583534	149.503990776925	144.963158871145	169.464296015817
ABCF2	113.998899221056	109.756398915871	111.683285016204	112.638927165334	106.682668360162	112.273440875528	123.64470397315	120.552548648674	132.421247544359
ABCF3	68.5720350589707	64.3206139996999	67.001313637839	70.8387518239625	66.9067095369012	66.266570456445	67.2061335118287	69.7091969945108	76.5760100292901
ABCG1	6.32387911301785	4.81393468492498	6.45107121722452	6.24699818485845	4.40748099871528	6.03322567894135	5.79064758476441	6.42102775450091	7.79736069135531
ABCG2	16.5087100605036	15.0665660924248	18.3033925320502	17.1542378902446	16.5440250159015	15.9908200982088	18.6374916382975	17.8991550452788	14.5064271311891
ABCG4	0.0219666001963726	0.0882401347776781	0.0943335439461594	0.0231846869073704	0.0465087104240388	0.0449535356771284	0.0231644965086438	0	0.0252014932310498
ABCG5	0	0.0371877614765	0.0397557545027973	0	0	0	0	0.124298265034355	0
ABCG8	0	0	0.0554939644690971	0	0	0	0	0	0.0593015246013792
ABHD1	0.178513010859079	0.0298787208065143	0.0958259691657597	0.157009895492024	0.0314963427258385	0.273988401561138	0.0627492723148858	0.199736302547592	0.136534391988538
ABHD10	59.0498314130346	51.0583894629501	64.7177908759897	64.0568149816564	59.6635163163504	61.8209695665311	62.5584902708325	58.7234205433607	39.2349947774028
ABHD11	21.063079680605	19.0978404012114	20.0289810466635	21.5323740900155	22.4889931641252	16.8107664032232	19.990536474759	17.6417736212404	18.8486354687233
ABHD12	84.9654781147686	85.286534437783	78.927175088812	87.0057354083134	83.1419825721505	79.5397356364083	77.1439991305635	83.6948890214591	85.8634690414788
ABHD12B	0.743938114985785	0.68484391300103	0.599020118346603	0.425311683201797	0.623477306005448	0.697781239091284	0.621068121006698	0.867067095112836	0.426746783795558
