gene	C1	C2	C3	PAC51	PAC52	PAC53	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	significance
ZNF417	1.933	1.086	1.126	1.935	1.613	1.466	0.2365	1.325	1.903	0.1057	0.5785	-4.308	NOT	FALSE
ZNF419	1.634	1.382	1.385	1.596	1.636	1.658	0.1514	1.352	2.649	0.03804	0.5006	-3.426	UP	TRUE
ZNF420	4.486	3.989	5.073	5.272	5.096	3.339	0.09147	2.46	0.8991	0.4032	0.7597	-5.365	NOT	FALSE
ZNF425	1.98	1.989	2.006	2.364	1.839	2.272	0.1448	1.621	1.567	0.1681	0.6269	-4.697	NOT	FALSE
ZNF426	6.445	4.969	5.959	6.392	5.434	5.111	0.06266	2.749	0.8262	0.4403	0.7761	-5.423	NOT	FALSE
ZNF428	22.46	19.49	23.87	24.98	19.66	25.33	0.1315	4.557	1.019	0.3477	0.728	-5.262	NOT	FALSE
ZNF429	2.18	2.053	2.078	2.184	1.982	2.001	0.04413	1.625	0.8727	0.4164	0.7637	-5.386	NOT	FALSE
ZNF43	0	0	0	0	0	0.01827	0.01335	0.006676	0.3298	0.7527	0.9218	-5.705	NOT	FALSE
ZNF430	1.992	1.92	2.139	1.528	2.027	1.27	-0.1614	1.478	-1.678	0.1442	0.6105	-4.57	NOT	FALSE
ZNF431	5.273	4.885	5.735	5.612	5.268	3.601	-0.03756	2.592	-0.4059	0.6989	0.8984	-5.676	NOT	FALSE
ZNF432	2.348	1.641	3.039	2.427	2.318	2.482	0.1237	1.746	0.8664	0.4195	0.7645	-5.391	NOT	FALSE
ZNF436	7.527	7.78	8.385	7.177	6.913	6.621	-0.08181	3.068	-1.174	0.285	0.697	-5.115	NOT	FALSE
ZNF438	5.294	4.085	3.431	5.719	5.274	4.815	0.3494	2.518	2.785	0.03179	0.487	-3.271	UP	TRUE
ZNF44	2.659	1.894	1.952	2.205	2.212	1.825	0.02264	1.641	0.2681	0.7976	0.9389	-5.724	NOT	FALSE
ZNF440	1.629	1.55	1.726	1.808	1.367	1.648	0.03992	1.391	0.5188	0.6224	0.8666	-5.623	NOT	FALSE
ZNF441	0.8414	0.8741	0.841	0.7955	0.7791	0.3661	-0.1598	0.7947	-1.5	0.1843	0.6351	-4.772	NOT	FALSE
ZNF442	0	0	0.02251	0	0	0	-0.00938	0.00469	-0.2361	0.8212	0.9471	-5.732	NOT	FALSE
ZNF443	2.001	1.709	2.364	2.322	1.96	2.354	0.1635	1.64	1.623	0.1556	0.6143	-4.633	NOT	FALSE
ZNF444	10.37	9.593	10.71	11.9	12.24	15.46	0.3996	3.651	2.781	0.03192	0.487	-3.275	UP	TRUE
ZNF445	4.533	4.354	4.969	4.696	4.664	4.204	0.071	2.479	1.401	0.2108	0.6521	-4.881	NOT	FALSE
ZNF446	2.239	2.276	1.983	1.918	1.409	2.087	-0.11	1.578	-0.8624	0.4216	0.7655	-5.395	NOT	FALSE
ZNF449	9.511	7.501	11.71	8.694	7.981	4.299	-0.3516	3.169	-1.709	0.1383	0.6042	-4.535	NOT	FALSE
ZNF45	16.84	16.53	16.19	16.14	16.42	15.65	0.02016	4.114	0.3154	0.7631	0.9253	-5.71	NOT	FALSE
ZNF451	14.07	11.03	15.79	12.45	11.5	6.546	-0.3481	3.653	-1.941	0.1003	0.5706	-4.263	NOT	FALSE
ZNF460	0.5502	0.3158	0.8861	0.5802	0.7036	0.6313	0.1103	0.6817	0.9045	0.4006	0.7588	-5.36	NOT	FALSE
ZNF461	1.311	1.415	1.372	1.278	0.9532	0.7894	-0.1954	1.118	-2.277	0.06303	0.5284	-3.863	NOT	FALSE
ZNF462	2	1.704	1.906	2.725	2.401	1.74	0.2392	1.612	2.811	0.03068	0.4849	-3.241	UP	TRUE
ZNF467	1.26	1.063	1.19	0.9564	0.2819	0.8093	-0.3467	0.9213	-2.097	0.08077	0.5493	-4.077	NOT	FALSE
ZNF468	1.695	1.807	1.288	1.705	1.197	1.317	-0.06406	1.314	-0.5525	0.6005	0.8563	-5.605	NOT	FALSE
ZNF473	4.893	5.615	4.803	4.043	3.843	4.261	-0.1796	2.471	-1.504	0.1832	0.6347	-4.767	NOT	FALSE
ZNF474	0.2602	0.1306	0.3491	0.2743	0.3639	0.07462	-0.001654	0.3049	-0.0159	0.9878	0.9977	-5.762	NOT	FALSE
ZNF48	12.18	10.86	10.63	9.506	9.221	11.65	-0.06687	3.541	-0.4819	0.6469	0.8777	-5.642	NOT	FALSE
ZNF480	5.184	4.72	5.505	5.737	6.119	3.66	0.07564	2.611	0.6832	0.5199	0.8214	-5.526	NOT	FALSE
ZNF483	0	0	0	0.07595	0.02686	0	0.04801	0.024	1.03	0.3428	0.7254	-5.251	NOT	FALSE
ZNF484	2.631	2.711	2.972	1.91	2.332	1.647	-0.2968	1.733	-3.745	0.009561	0.4287	-2.258	DOWN	M_TRUE
ZNF485	3.563	2.539	3.702	4.485	3.472	3.758	0.2896	2.189	2.416	0.05211	0.5234	-3.699	NOT	FALSE
ZNF487	3.35	3.114	3.032	2.89	3.407	2.477	-0.01711	2.012	-0.2514	0.8099	0.943	-5.729	NOT	FALSE
ZNF488	8.59	9.18	8.249	9.017	9.258	7.775	0.08364	3.274	1.074	0.3239	0.717	-5.211	NOT	FALSE
ZNF490	0.3079	0.1968	0.3005	0.2362	0.1879	0.3533	0.009088	0.3346	0.1263	0.9036	0.9701	-5.753	NOT	FALSE
ZNF491	0	0	0	0.04791	0	0	0.02136	0.01068	0.5003	0.6347	0.8733	-5.633	NOT	FALSE
ZNF492	0	0.03259	0.06968	0	0.03631	0.1489	0.0462	0.06848	0.6497	0.5399	0.832	-5.547	NOT	FALSE
ZNF493	0.995	0.4318	0.8045	0.5959	0.9209	0.5214	-0.009699	0.7639	-0.07651	0.9415	0.9834	-5.759	NOT	FALSE
ZNF496	15.96	17.13	18.38	14.68	13.85	16.55	-0.1233	4.092	-0.9905	0.3602	0.7363	-5.287	NOT	FALSE
ZNF497	1.767	1.597	2.467	2.423	2.65	2.068	0.2748	1.649	2.639	0.03855	0.5006	-3.438	UP	TRUE
ZNF500	5.923	4.815	5.971	4.584	4.649	5.818	-0.03767	2.652	-0.2703	0.796	0.9382	-5.723	NOT	FALSE
ZNF501	0.8808	1.026	0.8321	0.8916	1.025	0.6063	-0.01844	0.9068	-0.2054	0.844	0.952	-5.739	NOT	FALSE
ZNF503	50.13	50.96	43.35	45.7	43.52	41.65	-0.1329	5.549	-1.506	0.1829	0.6341	-4.766	NOT	FALSE
ZNF506	0.7531	0.855	0.9491	0.9668	0.5129	0.3757	-0.1833	0.7779	-1.367	0.2205	0.6594	-4.916	NOT	FALSE
ZNF507	8.837	7.422	10.42	9.228	9.257	6.075	-0.0272	3.243	-0.2193	0.8337	0.9494	-5.736	NOT	FALSE
ZNF510	7.352	6.776	8.692	8.44	7.966	6.459	0.08519	3.103	1.138	0.2986	0.7022	-5.15	NOT	FALSE
ZNF511	5.151	4.006	5.367	4.1	5.48	3.997	0.007011	2.498	0.06488	0.9504	0.9861	-5.759	NOT	FALSE
ZNF512	27.91	24.66	30.57	29.66	31.23	27.96	0.1282	4.886	2.032	0.08844	0.5576	-4.155	NOT	FALSE
ZNF512B	45.31	42.96	45.3	47.39	44.06	50.73	0.08743	5.55	1.166	0.2878	0.6982	-5.123	NOT	FALSE
ZNF513	7.514	5.264	7.629	6.388	7.299	7.885	0.1682	2.989	1.152	0.293	0.6996	-5.136	NOT	FALSE
ZNF514	3.821	3.919	3.517	3.475	3.71	3.085	-0.0207	2.199	-0.2831	0.7866	0.9345	-5.72	NOT	FALSE
ZNF517	6.125	6.385	6.687	5.337	5.198	5.657	-0.1238	2.785	-1.26	0.2544	0.6816	-5.029	NOT	FALSE
ZNF518A	8.639	7.393	8.677	7.949	7.43	4.194	-0.2509	3.039	-1.622	0.1558	0.6143	-4.634	NOT	FALSE
ZNF519	4.424	3.023	4.356	4.205	3.739	2.192	-0.1154	2.188	-0.7041	0.5077	0.8155	-5.512	NOT	FALSE
ZNF521	5.025	4.313	4.753	4.248	4.681	4.089	0.00508	2.464	0.08817	0.9326	0.9806	-5.758	NOT	FALSE
ZNF524	25.73	20.04	20.55	22.32	24.82	26.73	0.1979	4.597	1.558	0.1703	0.6297	-4.708	NOT	FALSE
ZNF526	8.87	7.741	9.072	9.115	9.166	8.77	0.15	3.294	2.6	0.04062	0.5039	-3.483	UP	TRUE
ZNF527	2.568	2.794	3.217	2.641	2.994	2.038	-0.0573	1.881	-0.606	0.5667	0.8432	-5.574	NOT	FALSE
ZNF528	1.405	1.168	1.266	1.567	2.042	1.371	0.2679	1.294	3.135	0.02018	0.4679	-2.882	UP	TRUE
ZNF529	6.236	5.62	7.021	5.83	5.903	3.249	-0.2232	2.708	-1.511	0.1815	0.6338	-4.76	NOT	FALSE
ZNF530	2.168	2.591	2.829	2.489	3.04	3.243	0.2376	1.896	1.675	0.1448	0.6105	-4.574	NOT	FALSE
ZNF532	13.68	12.1	14.69	13.95	13.36	11.76	0.02681	3.829	0.4976	0.6364	0.8734	-5.634	NOT	FALSE
ZNF540	1.248	1.189	1.306	1.384	1.361	1.505	0.1645	1.228	2.72	0.03465	0.4937	-3.346	UP	TRUE
ZNF541	0.02959	0	0.09531	0.03121	0	0	-0.03864	0.03299	-0.766	0.4727	0.7939	-5.468	NOT	FALSE
ZNF543	2.56	2.987	2.668	2.461	2.949	1.944	-0.06149	1.835	-0.5833	0.5809	0.8494	-5.588	NOT	FALSE
ZNF544	7.689	6.655	7.965	8.068	7.198	8.068	0.1398	3.103	1.506	0.1828	0.6341	-4.766	NOT	FALSE
ZNF546	1.376	1.49	1.412	1.693	1.369	0.9299	-0.01698	1.242	-0.1587	0.8791	0.9641	-5.748	NOT	FALSE
ZNF547	0.8494	0.7367	0.8704	1.099	1.037	1.063	0.2268	0.9557	4.755	0.003139	0.4012	-1.384	UP	M_TRUE
ZNF548	4.829	4.693	4.873	4.975	4.853	3.232	-0.03889	2.471	-0.4234	0.6868	0.8925	-5.669	NOT	FALSE
ZNF549	0.01485	0	0.01594	0	0.01661	0	-0.000529	0.008223	-0.01328	0.9898	0.9979	-5.762	NOT	FALSE
ZNF550	6.959	4.841	7.123	6.397	6.545	4.66	0.001082	2.811	0.009505	0.9927	0.9982	-5.762	NOT	FALSE
ZNF552	4.931	5.091	6.185	7.436	8.199	6.028	0.4461	2.854	4.956	0.002559	0.4012	-1.233	UP	M_TRUE
ZNF554	5.998	5.463	4.798	4.992	5.428	4.925	0.03127	2.648	0.3322	0.7511	0.9213	-5.704	NOT	FALSE
ZNF555	1.095	1.229	1.59	1.256	1.405	1.164	0.03449	1.195	0.3817	0.7159	0.9049	-5.686	NOT	FALSE
ZNF557	3.96	3.747	3.809	4.176	4.098	3.414	0.1018	2.284	2.24	0.06631	0.5324	-3.907	NOT	FALSE
ZNF558	6.211	4.395	5.313	4.775	4.671	3.997	-0.1029	2.554	-1.275	0.2494	0.6753	-5.013	NOT	FALSE
ZNF559	3.371	3.141	4.252	3.469	3.158	3.541	0.03234	2.162	0.2921	0.7801	0.9319	-5.717	NOT	FALSE
ZNF559-ZNF177	0.03222	0	0.03459	0.1019	0	0	0.0164	0.03695	0.2985	0.7754	0.9295	-5.715	NOT	FALSE
ZNF561	7.008	6.524	6.723	7.57	7.388	6.378	0.1475	2.99	3.304	0.01631	0.4485	-2.702	UP	TRUE
