name	C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
63	ENSG00000057252	41.10320942	38.28059183	44.17514176	40.81768404	37.95347726	39.88329912	42.57758645	41.21147024	31.35662086
64	ENSG00000199349	0	0	0	0	0.394034453	0	0	0	0
65	ENSG00000009335	18.95911281	18.68320463	20.53052422	18.93415986	18.66996779	18.73176109	20.4240737	19.59887183	21.82758035
66	ENSG00000270108	1.05482035	0.548029529	0.402204156	0.2382637	0.3226514	0.546574229	0.55547537	0.336269099	0.089140308
67	ENSG00000140505	0	0	0	0	0	0	0.016056892	0.01701068	0
68	ENSG00000140506	0	0	0	0.010671987	0.010838825	0	0	0.011296284	0.011977958
69	ENSG00000160439	0.885615649	0.970525514	1.017856381	1.106980802	1.056933001	0.922810787	0.988808578	0.826156127	1.013423861
70	ENSG00000237436	2.30499125	1.04135043	1.497943959	2.429715611	1.93124356	1.454019154	1.899897859	4.137325349	1.659942894
71	ENSG00000237437	0.237270103	0.246546292	0.07237708	0.285838766	0.108865265	0.421528431	0.32129487	0.075639993	0.401022413
72	ENSG00000237434	0	0	0	0	0.107033397	0	0	0	0
73	ENSG00000106460	8.976638647	7.98438752	10.30431559	9.604637068	8.70160601	9.085241759	9.318485747	8.633824911	3.385158965
74	ENSG00000106462	29.22892727	25.48809957	29.92953928	27.67905505	26.87111068	28.16547733	24.79791986	27.49211819	27.29041769
75	ENSG00000237438	0.009339784	0	0.019943112	0.01969033	0	0.009679156	0	0.031263285	0
76	ENSG00000120942	8.519333323	8.682325803	7.505404963	7.600058803	8.156947375	7.921408392	8.179700393	8.172490443	8.568835757
77	ENSG00000277011	0.023195794	0	0.049529658	0.024450932	0	0	0.048860235	0.02588128	0
78	ENSG00000252474	0.403786986	0	0	0	0	0	0	0	0
79	ENSG00000120949	0	0	0.023757806	0	0	0	0	0	0
80	ENSG00000120948	20.79160445	19.14148232	21.79574199	22.1405101	21.57719943	21.79557502	24.47380276	24.62048131	17.87962821
81	ENSG00000230849	0	0	0	0.035044381	0.035592241	0.068906926	0	0	0
82	ENSG00000259374	0	0.018912929	0	0.038372447	0.038972335	0.018862705	0.019169891	0.12185156	0
83	ENSG00000259377	0	0	0.076425712	0	0.076636649	0	0	0	0
84	ENSG00000259370	0.004872883	0.010126782	0.010405	0.010273116	0.005216859	0.01009989	0.020528741	0.0271852	0.005765138
85	ENSG00000115241	71.2478781	74.60364774	68.24354782	69.62843225	71.44599576	71.10868896	73.13378952	72.32941235	81.23949675
86	ENSG00000255038	0.082848724	0	0	0.087331715	0	0	0.087257372	0	0
87	ENSG00000106853	27.00783821	25.56736333	26.71119709	26.83200065	27.25147358	27.09752822	27.04453387	27.54136075	27.29963847
88	ENSG00000106852	0.499254368	0.44358847	0.370800324	0.46525257	0.433794366	0.412416582	0.411512323	0.339077192	0.308176096
89	ENSG00000139445	5.835309416	5.938937606	5.923003705	6.757326025	6.773169577	6.779976954	5.514836841	6.657953779	6.081572481
90	ENSG00000270104	0	0	0	0	0	0.075089342	0	0	0
91	ENSG00000263272	3.51948904	2.631317365	3.207671533	2.73720486	3.69900351	3.158091875	3.051306545	3.136776457	3.046777094
92	ENSG00000118292	0.554123665	0.351870075	0.230069113	0.421855493	0.593239139	0.350935679	0.19453679	0.446533504	0.254950519
93	ENSG00000263276	0.165149144	0.128704297	0.058773446	0.159578335	0.058935663	0.099837516	0.101463403	0.061423078	0.065129649
94	ENSG00000118298	0.260412582	0.259318806	0.359119098	0.263066	0.22071275	0.202406229	0.26284206	0.242134807	0.256746413
95	ENSG00000188603	0.088597205	0.07014168	0.094590192	0.093391249	0.09936799	0.122421982	0.106641998	0.127098667	0.089845618
96	ENSG00000215304	0.303300343	0.157579008	0.242862382	0.359676105	0.324710251	0.353611248	0.27950994	0.126905567	0.134563674
97	ENSG00000215305	6.81216492	6.577471442	6.56018412	7.67600082	7.4121582	7.495318076	6.757984877	7.338743216	7.313533007
98	ENSG00000102531	10.15169158	9.190005471	10.36539358	10.10302467	10.42870686	9.266383712	10.29358144	9.639102617	4.257057645
99	ENSG00000251102	0.361652691	0.187895838	0.482644987	0.66713836	0.24198855	0.374793757	0.238060873	0.453963284	0.481357664
100	ENSG00000215301	67.94254233	57.54878284	74.69688008	64.47424264	62.87387269	67.78024196	77.84291904	76.85850596	68.00470973
101	ENSG00000215302	0.767212595	0.797207139	0.514324388	0.733496487	0.649455327	0.628675929	0.60133094	1.055114625	0.675493094
102	ENSG00000102539	0.033567441	0	0	0	0.03593696	0	0	0	0
